make,model,price,fuel,transmission,trim,drivetrain,car_age
Toyota,Tundra Hybrid,62341.0,Hybrid,1-Speed Automatic,Limited,Four-wheel Drive,1
Hyundai,IONIQ 5,42015.0,Electric,1-Speed Automatic,SE,All-wheel Drive,1
Nissan,Kicks,24500.0,Gasoline,CVT,SV,Front-wheel Drive,1
Buick,Envista,27075.0,Gasoline,6-Speed Automatic,Preferred,Front-wheel Drive,1
Acura,MDX,51645.0,Gasoline,1-Speed Automatic,Base,Front-wheel Drive,1
Nissan,Rogue,35975.0,Gasoline,Automatic,SV,All-wheel Drive,1
Jeep,Wagoneer,63057.0,Gasoline,8-Speed Automatic,Base,Four-wheel Drive,1
Nissan,Rogue,36405.0,Gasoline,Automatic,SV,All-wheel Drive,1
Jeep,Wagoneer L,86137.0,Gasoline,Automatic,Series II Carbide 4x4,Four-wheel Drive,1
Kia,Sportage,27969.0,Gasoline,8-Speed Automatic,S,Front-wheel Drive,1
Acura,MDX,51645.0,Gasoline,1-Speed Automatic,Base,Front-wheel Drive,1
RAM,3500,63223.0,Diesel,Automatic,Tradesman,Four-wheel Drive,1
Dodge,Durango,47785.0,Gasoline,8-Speed Automatic,Pursuit,All-wheel Drive,2
Nissan,Murano,46000.0,Gasoline,Automatic CVT,Platinum,All-wheel Drive,1
Nissan,Rogue,41180.0,Gasoline,Automatic,SL,All-wheel Drive,1
Dodge,Hornet,44720.0,Hybrid,6-Speed Automatic,R/T,All-wheel Drive,1
Jeep,Grand Cherokee L,49390.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Jeep,Compass,28860.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,1
Mercedes-Benz,EQE 350+,76535.0,Electric,1-Speed Automatic,Base,Rear-wheel Drive,1
Buick,Envista,31805.0,Gasoline,6-Speed Automatic,Avenir,Front-wheel Drive,1
Dodge,Durango,44160.0,Gasoline,8-Speed Automatic,GT,Rear-wheel Drive,1
Hyundai,Sonata,28469.0,Gasoline,8-Speed Automatic,SEL,All-wheel Drive,1
RAM,3500,58930.0,Diesel,6-Speed Automatic,Tradesman,Four-wheel Drive,1
GMC,Terrain,35236.0,Gasoline,9-Speed Automatic,SLT,All-wheel Drive,1
Jeep,Wagoneer,60555.0,Gasoline,8-Speed Automatic,Base,Rear-wheel Drive,1
Ford,Ranger,38740.0,Gasoline,1-Speed Automatic,XL,Four-wheel Drive,1
Audi,SQ5,0.0,Gasoline,Automatic,Premium Plus,All-wheel Drive,1
RAM,3500,66334.0,Diesel,Automatic,Tradesman Crew Cab 4x4 8&#39; Box,Four-wheel Drive,1
Audi,Q5 e,73020.0,Gasoline,7-Speed Automatic,55 Premium Plus,All-wheel Drive,1
RAM,3500,89555.0,Diesel,Automatic,Laramie,Four-wheel Drive,1
RAM,3500,65315.0,Diesel,6-Speed Automatic,Tradesman,Four-wheel Drive,1
Mazda,CX-90 PHEV,58599.0,PHEV Hybrid Fuel,Automatic,Premium Plus,All-wheel Drive,1
Ford,Mustang Mach-E,50473.0,Electric,1-Speed Automatic,GT,All-wheel Drive,2
Dodge,Hornet,47234.0,Hybrid,6-Speed Automatic,R/T Plus,All-wheel Drive,1
Chevrolet,Silverado 1500,44161.0,Gasoline,8-Speed Automatic,Custom,Four-wheel Drive,1
Chevrolet,Silverado 1500,49496.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Chevrolet,Silverado 1500,43475.0,Gasoline,Automatic,WT,Four-wheel Drive,1
Dodge,Charger,36083.0,Gasoline,8-Speed Automatic,SXT,Rear-wheel Drive,2
Chevrolet,Silverado 1500,54559.0,Gasoline,Automatic,RST,Four-wheel Drive,1
Mercedes-Benz,Sprinter 2500,60061.0,Diesel,9-Speed Automatic,Standard Roof,Rear-wheel Drive,1
Jeep,Compass,28867.0,Gasoline,Automatic,Latitude,Four-wheel Drive,1
Honda,CR-V Hybrid,42005.0,Hybrid,Automatic CVT,Sport Touring,All-wheel Drive,1
Hyundai,IONIQ 6,45005.0,Electric,Automatic,SEL,Rear-wheel Drive,1
Hyundai,Tucson Hybrid,35864.0,Hybrid,6-Speed Automatic,SEL Convenience,All-wheel Drive,1
Jeep,Compass,30000.0,Gasoline,8-Speed Automatic,Latitude,Four-wheel Drive,2
Kia,Sportage,34000.0,Gasoline,8-Speed Automatic,X-Line,All-wheel Drive,1
Jeep,Compass,29342.0,Gasoline,Automatic,Sport,Four-wheel Drive,1
Ford,Transit-150,55645.0,E85 Flex Fuel,1-Speed Automatic,Base,All-wheel Drive,1
Audi,Q8 e-tron,83630.0,Electric,Automatic,Premium,All-wheel Drive,1
Jeep,Wrangler,59456.0,Gasoline,Automatic,4-Door Sahara 4x4,Four-wheel Drive,1
Jeep,Grand Cherokee,39714.0,Gasoline,Automatic,Laredo,Four-wheel Drive,1
Chevrolet,Silverado 1500,49628.0,Gasoline,Automatic,LT,Four-wheel Drive,1
Hyundai,Tucson Hybrid,33089.0,Hybrid,6-Speed Automatic,Blue,All-wheel Drive,1
Mercedes-Benz,EQE 350+,79765.0,Electric,1-Speed Automatic,Base,Rear-wheel Drive,1
Dodge,Charger,65075.0,Gasoline,8-Speed Automatic,Scat Pack,Rear-wheel Drive,2
Jeep,Compass,38980.0,Gasoline,8-Speed Automatic,Limited,Four-wheel Drive,1
Hyundai,Santa Fe,49905.0,Gasoline,Automatic,Calligraphy,All-wheel Drive,1
Jeep,Grand Cherokee 4xe,58235.0,Gasoline,Automatic,4x4,Four-wheel Drive,1
Volkswagen,Taos,27998.0,Gasoline,4-Speed Automatic,1.5T SE,All-wheel Drive,1
Chevrolet,Equinox,25515.0,Gasoline,6-Speed Automatic,LS,Front-wheel Drive,1
Jeep,Wrangler 4xe,66960.0,Hybrid,8-Speed Automatic,Rubicon,Four-wheel Drive,1
